Generation,Population Count,Max Fitness,Total Fitness
0,267,3.3675486655039304,0
1,283,8.834818601941759,288.87767967855086
2,299,8.834818601941759,492.7901925998666
3,315,8.834818601941759,689.673228620839
4,331,9.290984979356526,880.9077599737361
5,347,9.290984979356526,1076.7678178244582
6,363,9.290984979356526,1193.6046462998363
7,379,9.290984979356526,1319.458356045092
8,395,9.290984979356526,1396.3623633063128
9,411,9.290984979356526,1519.8345744387059
10,427,9.290984979356526,1620.4013773109868
11,443,9.290984979356526,1707.3406416131263
12,456,9.290984979356526,1775.054854680223
13,471,9.290984979356526,1893.558318403883
14,487,9.290984979356526,2027.2698080068283
15,503,9.290984979356526,2040.3100088391009
16,518,9.290984979356526,2141.5294114049175
17,531,9.290984979356526,2221.0357181342897
18,547,9.290984979356526,2279.002877083805
19,562,9.290984979356526,2342.0867509480113
20,576,9.290984979356526,2415.533204381636
21,590,9.290984979356526,2476.248823753766
22,604,9.290984979356526,2542.563911469135
23,620,9.290984979356526,2585.4806254741825
24,635,9.290984979356526,2676.483745150739
25,650,9.290984979356526,2737.808720138246
26,664,9.290984979356526,2785.518553381999
27,680,9.290984979356526,2826.251054730183
28,695,9.290984979356526,2935.1621374860993
29,711,9.290984979356526,3021.631458788718
30,726,9.290984979356526,3066.038037424663
31,739,9.290984979356526,3158.175045793024
32,751,9.290984979356526,3208.9422947000166
33,766,9.290984979356526,3220.9311861553147
34,779,9.290984979356526,3331.579767776933
35,794,9.290984979356526,3386.3525076227124
36,807,9.290984979356526,3426.69611038251
37,822,9.290984979356526,3509.8243213928376
38,835,9.290984979356526,3600.8434939229155
39,848,9.290984979356526,3654.5075234387587
40,863,9.290984979356526,3736.5982967498267
41,878,9.290984979356526,3775.9799646922606
42,890,9.290984979356526,3853.4733548194617
43,903,9.290984979356526,3934.77562875452
44,918,9.290984979356526,3985.990628457232
45,931,9.290984979356526,4055.2493004953017
46,944,9.290984979356526,4117.394545087974
47,958,9.290984979356526,4203.650817267719
48,972,9.290984979356526,4272.974363822053
49,987,9.290984979356526,4337.333733313835
50,1000,9.290984979356526,4408.2821158777015
51,1015,9.290984979356526,4473.415723952664
52,1030,9.290984979356526,4536.915688895393
53,1046,9.290984979356526,4591.1510132597905
54,1056,9.290984979356526,4696.810641950456
55,1071,9.290984979356526,4732.707063189674
56,1084,9.290984979356526,4794.295141575216
57,1095,9.290984979356526,4827.640415628233
58,1107,9.290984979356526,4931.358768836986
59,1120,9.290984979356526,4964.006687579152
60,1134,9.290984979356526,4999.348137509072
61,1147,9.290984979356526,5082.982453864159
62,1159,9.290984979356526,5137.619654001524
63,1174,9.290984979356526,5191.632672573714
64,1190,9.290984979356526,5282.291780066136
65,1203,9.290984979356526,5355.2478538145415
66,1214,9.290984979356526,5373.564060339079
67,1226,9.290984979356526,5449.863334728862
68,1239,9.290984979356526,5489.734550995193
69,1251,9.290984979356526,5525.789971223062
70,1263,9.290984979356526,5612.675743962181
71,1272,9.290984979356526,5664.9052104283355
72,1287,9.290984979356526,5701.487357781122
73,1300,9.290984979356526,5778.401487897883
74,1312,9.290984979356526,5827.694309103255
75,1326,9.290984979356526,5818.454337234767
76,1336,9.290984979356526,5921.1864093212525
77,1347,9.290984979356526,6014.680629508034
78,1356,9.290984979356526,6030.013657080228
79,1371,9.290984979356526,6106.042805455958
80,1386,9.290984979356526,6187.001034381276
81,1396,9.290984979356526,6287.028737750047
82,1407,9.290984979356526,6303.524652822692
83,1419,9.290984979356526,6335.423493175845
84,1428,9.290984979356526,6359.142556976529
85,1439,9.290984979356526,6423.215177190571
86,1451,9.290984979356526,6489.758658522805
87,1463,9.290984979356526,6539.923340093699
88,1478,9.290984979356526,6633.062298557927
89,1486,9.290984979356526,6684.06432873132
90,1499,9.290984979356526,6690.4913296799805
91,1508,9.290984979356526,6738.4311897313655
92,1519,9.290984979356526,6843.315027642872
93,1532,9.290984979356526,6883.824610446067
94,1543,9.290984979356526,6911.816305540228
95,1554,9.290984979356526,6989.970602125579
96,1564,9.290984979356526,7036.24110464066
97,1571,9.290984979356526,7124.788475752766
98,1580,9.290984979356526,7143.987951055135
99,1592,9.290984979356526,7154.1073126103975
100,1604,9.290984979356526,7247.665096283012
101,1612,9.290984979356526,7293.683986099189
102,1623,9.290984979356526,7340.865449452226
103,1635,9.290984979356526,7431.18519615709
104,1648,9.290984979356526,7438.241551380487
105,1656,9.290984979356526,7511.307238143053
106,1664,9.290984979356526,7527.236963859251
107,1674,9.290984979356526,7570.437610359009
108,1687,9.290984979356526,7659.075182022427
109,1696,9.290984979356526,7660.46326494475
110,1704,9.290984979356526,7735.443895410305
111,1712,9.290984979356526,7747.6073746602415
112,1723,9.290984979356526,7770.432803590484
113,1731,9.290984979356526,7840.543864170116
114,1744,9.290984979356526,7855.982332355503
115,1755,9.290984979356526,7920.367044316666
116,1764,9.290984979356526,7970.4610045269255
117,1770,9.290984979356526,8018.43881454469
118,1780,9.290984979356526,8037.699507287075
119,1791,9.290984979356526,8111.148939924225
120,1800,9.290984979356526,8195.72685320138
121,1812,9.290984979356526,8208.621064363144
122,1820,9.290984979356526,8229.200247743598
123,1831,9.290984979356526,8311.880139865107
124,1840,9.290984979356526,8335.42142302039
Data End
